Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9673614920460779,0.15151515151515152,0.2032520325203252,0.1736111111111111
Gradient Boosting,0.9595447065277016,0.0825242718446602,0.13821138211382114,0.1033434650455927
Decision Tree,0.8026604498080088,0.03,0.34146341463414637,0.0551543007222587
Logistic Regression,0.7055677454744926,0.013928914505283382,0.23577235772357724,0.026303854875283448
